,Longitudes,dew,DATE,min_aod,ceiling,Latitudes,temperature,wind_y,precipitation_duration,max_aod,wind_x,pressure,mean_aod,STATION,pm25,Unnamed: 0,visibility,precipitation_depth
4774,33.81380122,95.60714286,2018-02-03,0.034,22000.0,-118.4054403,17.13214286,-4.74894259,1.92,0.158,77.63563557,10183.0,0.090705882,50.0,,,,
4865,33.85104149,68.78571429,2018-02-01,0.091,20210.2963,-118.4054403,16.98214286,46.36820144,1.92,0.301,10.72614254,10148.14286,0.1547,51.0,,,,
4866,33.85104149,95.60714286,2018-02-03,0.043,22000.0,-118.4054403,17.13214286,-4.74894259,1.92,0.207,77.63563557,10183.0,0.098308642,51.0,,,,
4960,33.88828177,68.78571429,2018-02-01,0.088,20210.2963,-118.4054403,16.98214286,46.36820144,1.92,0.248,10.72614254,10148.14286,0.143924528,52.0,,,,
4961,33.88828177,95.60714286,2018-02-03,0.045,22000.0,-118.4054403,17.13214286,-4.74894259,1.92,0.199,77.63563557,10183.0,0.100291139,52.0,,,,
5053,33.92552204,68.78571429,2018-02-01,0.088,20210.2963,-118.4054403,16.98214286,46.36820144,1.92,0.284,10.72614254,10148.14286,0.146153846,53.0,,,,
5054,33.92552204,95.60714286,2018-02-03,0.048,22000.0,-118.4054403,17.13214286,-4.74894259,1.92,0.185,77.63563557,10183.0,0.10624359,53.0,,,,
5144,33.96276232,68.78571429,2018-02-01,0.092,20210.2963,-118.4054403,16.98214286,46.36820144,1.92,0.284,10.72614254,10148.14286,0.155517857,54.0,,,,
5145,33.96276232,95.60714286,2018-02-03,0.062,22000.0,-118.4054403,17.13214286,-4.74894259,1.92,0.185,77.63563557,10183.0,0.118061728,54.0,,,,
5237,34.00000259,68.78571429,2018-02-01,0.092,20210.2963,-118.4054403,16.98214286,46.36820144,1.92,0.163,10.72614254,10148.14286,0.113959184,55.0,,,,
5238,34.00000259,95.60714286,2018-02-03,0.055,22000.0,-118.4054403,17.13214286,-4.74894259,1.92,0.147,77.63563557,10183.0,0.098571429,55.0,,,,
5329,34.03724287,49.25,2018-02-01,0.076,22000.0,-118.4054403,16.08333333,51.193245,1.92,0.181,23.01167817,10148.83333,0.11202381,56.0,,,,
5330,34.03724287,77.33333333,2018-02-03,0.061,22000.0,-118.4054403,16.25,-5.367422987,1.92,0.157,-7.76678445,10182.75,0.099090909,56.0,,,,
5421,34.07448314,49.25,2018-02-01,0.096,22000.0,-118.4054403,16.08333333,51.193245,1.92,0.149,23.01167817,10148.83333,0.118870968,57.0,,,,
5422,34.07448314,77.33333333,2018-02-03,0.053,22000.0,-118.4054403,16.25,-5.367422987,1.92,0.116,-7.76678445,10182.75,0.092655738,57.0,,,,
5513,34.11172342,18.92592593,2018-02-01,0.094,22000.0,-118.4054403,18.45925926,-41.59484399,1.92,0.149,-39.64621713,10140.08333,0.126075,58.0,,,,
5514,34.11172342,32.625,2018-02-03,0.04,22000.0,-118.4054403,18.84166667,60.9179873,1.92,0.116,-11.60935782,10172.95833,0.079632911,58.0,,,,
5606,34.14896369,-23.84615385,2018-02-01,0.108,22000.0,-118.4054403,22.69230769,-53.51873631,,0.138,31.09410759,,0.122512195,59.0,,,,
5607,34.14896369,-4.0,2018-02-03,0.029,,-118.4054403,23.6,56.84200427,,0.112,-14.82603296,,0.070463415,59.0,,,,
5694,34.18620397,-23.84615385,2018-02-01,0.109,22000.0,-118.4054403,22.69230769,-53.51873631,,0.159,31.09410759,,0.136051282,60.0,,,,
5695,34.18620397,-4.0,2018-02-03,0.048,,-118.4054403,23.6,56.84200427,,0.171,-14.82603296,,0.084846154,60.0,,,,
5781,33.70208039,49.28571429,2018-02-01,0.195,20820.42857,-118.4503561,17.93333333,-96.88441668,0.0,0.22,-18.85640675,,0.2075,32.0,,,,
5782,33.70208039,66.92307692,2018-02-03,0.039,22000.0,-118.4503561,18.5,-46.75990333,0.0,0.136,39.4554067,,0.072609756,32.0,,,,
5852,33.73932067,68.78571429,2018-02-01,0.131,20210.2963,-118.4503561,16.98214286,46.36820144,1.92,0.202,10.72614254,10148.14286,0.175285714,33.0,,,,
5853,33.73932067,95.60714286,2018-02-03,0.031,22000.0,-118.4503561,17.13214286,-4.74894259,1.92,0.122,77.63563557,10183.0,0.078395062,33.0,,,,
5935,33.77656094,68.78571429,2018-02-01,0.134,20210.2963,-118.4503561,16.98214286,46.36820144,1.92,0.219,10.72614254,10148.14286,0.159258065,34.0,,,,
5936,33.77656094,95.60714286,2018-02-03,0.03,22000.0,-118.4503561,17.13214286,-4.74894259,1.92,0.14,77.63563557,10183.0,0.088602564,34.0,,,,
6012,33.81380122,68.78571429,2018-02-01,0.117,20210.2963,-118.4503561,16.98214286,46.36820144,1.92,0.162,10.72614254,10148.14286,0.139641026,35.0,,,,
6013,33.81380122,95.60714286,2018-02-03,0.058,22000.0,-118.4503561,17.13214286,-4.74894259,1.92,0.158,77.63563557,10183.0,0.101051282,35.0,,,,
6095,33.85104149,68.78571429,2018-02-01,0.114,20210.2963,-118.4503561,16.98214286,46.36820144,1.92,0.147,10.72614254,10148.14286,0.134,36.0,,,,
6096,33.85104149,95.60714286,2018-02-03,0.08,22000.0,-118.4503561,17.13214286,-4.74894259,1.92,0.214,77.63563557,10183.0,0.131825,36.0,,,,
6177,33.88828177,49.25,2018-02-01,0.115,22000.0,-118.4503561,16.08333333,51.193245,1.92,0.189,23.01167817,10148.83333,0.141711111,37.0,,,,
6178,33.88828177,77.33333333,2018-02-03,0.086,22000.0,-118.4503561,16.25,-5.367422987,1.92,0.214,-7.76678445,10182.75,0.151858824,37.0,,,,
6262,33.92552204,49.25,2018-02-01,0.088,22000.0,-118.4503561,16.08333333,51.193245,1.92,0.226,23.01167817,10148.83333,0.151340909,38.0,,,,
6263,33.92552204,77.33333333,2018-02-03,0.057,22000.0,-118.4503561,16.25,-5.367422987,1.92,0.214,-7.76678445,10182.75,0.149759494,38.0,,,,
6354,33.96276232,49.25,2018-02-01,0.085,22000.0,-118.4503561,16.08333333,51.193245,1.92,0.207,23.01167817,10148.83333,0.133636364,39.0,,,,
6355,33.96276232,77.33333333,2018-02-03,0.062,22000.0,-118.4503561,16.25,-5.367422987,1.92,0.211,-7.76678445,10182.75,0.12675,39.0,,,,
6447,34.00000259,49.25,2018-02-01,0.09,22000.0,-118.4503561,16.08333333,51.193245,1.92,0.161,23.01167817,10148.83333,0.114166667,40.0,,,,
6448,34.00000259,77.33333333,2018-02-03,0.038,22000.0,-118.4503561,16.25,-5.367422987,1.92,0.2,-7.76678445,10182.75,0.08952,40.0,,,,
6539,34.03724287,49.25,2018-02-01,0.076,22000.0,-118.4503561,16.08333333,51.193245,1.92,0.143,23.01167817,10148.83333,0.103953488,41.0,,,,
6540,34.03724287,77.33333333,2018-02-03,0.038,22000.0,-118.4503561,16.25,-5.367422987,1.92,0.107,-7.76678445,10182.75,0.080594937,41.0,,,,
6633,34.07448314,49.25,2018-02-01,0.086,22000.0,-118.4503561,16.08333333,51.193245,1.92,0.124,23.01167817,10148.83333,0.10234375,42.0,,,,
6634,34.07448314,77.33333333,2018-02-03,0.027,22000.0,-118.4503561,16.25,-5.367422987,1.92,0.1,-7.76678445,10182.75,0.0675625,42.0,,,,
6727,34.11172342,49.25,2018-02-01,0.091,22000.0,-118.4503561,16.08333333,51.193245,1.92,0.136,23.01167817,10148.83333,0.117051282,43.0,,,,
6728,34.11172342,77.33333333,2018-02-03,0.028,22000.0,-118.4503561,16.25,-5.367422987,1.92,0.098,-7.76678445,10182.75,0.063846154,43.0,,,,
6820,34.14896369,14.83333333,2018-02-01,0.109,22000.0,-118.4503561,17.4,-57.16681192,1.92,0.137,-60.52122602,10145.16667,0.123634146,44.0,,,,
6821,34.14896369,27.0,2018-02-03,0.029,22000.0,-118.4503561,18.59583333,31.33982059,1.92,0.101,-35.32026117,10177.08333,0.062634146,44.0,,,,
6912,34.18620397,14.83333333,2018-02-01,0.109,22000.0,-118.4503561,17.4,-57.16681192,1.92,0.159,-60.52122602,10145.16667,0.12897561,45.0,,,,
6913,34.18620397,27.0,2018-02-03,0.048,22000.0,-118.4503561,18.59583333,31.33982059,1.92,0.101,-35.32026117,10177.08333,0.069207317,45.0,,,,
6997,33.70208039,,2018-02-01,0.187,,-118.4952719,16.15833333,39.18688937,,0.187,-42.28828656,10151.125,0.187,17.0,,,,
6998,33.70208039,,2018-02-03,0.062,,-118.4952719,16.125,37.25377835,,0.096,40.57935041,10186.66667,0.0705,17.0,,,,
7064,33.73932067,,2018-02-01,0.174,,-118.4952719,16.15833333,39.18688937,,0.193,-42.28828656,10151.125,0.181333333,18.0,,,,
7065,33.73932067,,2018-02-03,0.064,,-118.4952719,16.125,37.25377835,,0.112,40.57935041,10186.66667,0.078268293,18.0,,,,
7132,33.77656094,,2018-02-01,0.113,,-118.4952719,16.15833333,39.18688937,,0.193,-42.28828656,10151.125,0.131208333,19.0,,,,
7133,33.77656094,,2018-02-03,0.064,,-118.4952719,16.125,37.25377835,,0.136,40.57935041,10186.66667,0.088357143,19.0,,,,
7205,33.81380122,,2018-02-01,0.113,,-118.4952719,16.15833333,39.18688937,,0.153,-42.28828656,10151.125,0.133195122,20.0,,,,
7206,33.81380122,,2018-02-03,0.069,,-118.4952719,16.125,37.25377835,,0.143,40.57935041,10186.66667,0.096378049,20.0,,,,
7278,33.85104149,,2018-02-01,0.114,,-118.4952719,16.15833333,39.18688937,,0.147,-42.28828656,10151.125,0.13325,21.0,,,,
7279,33.85104149,,2018-02-03,0.074,,-118.4952719,16.125,37.25377835,,0.224,40.57935041,10186.66667,0.1292625,21.0,,,,
7349,33.88828177,,2018-02-01,0.127,,-118.4952719,16.15833333,39.18688937,,0.166,-42.28828656,10151.125,0.142763158,22.0,,,,
7350,33.88828177,,2018-02-03,0.081,,-118.4952719,16.125,37.25377835,,0.228,40.57935041,10186.66667,0.147868421,22.0,,,,
7420,33.92552204,,2018-02-01,0.136,,-118.4952719,16.15833333,39.18688937,,0.226,-42.28828656,10151.125,0.157121951,23.0,,,,
7421,33.92552204,,2018-02-03,0.114,,-118.4952719,16.125,37.25377835,,0.228,40.57935041,10186.66667,0.164948052,23.0,,,,
7504,33.96276232,,2018-02-01,0.085,,-118.4952719,16.15833333,39.18688937,,0.2,-42.28828656,10151.125,0.153510204,24.0,,,,
7505,33.96276232,,2018-02-03,0.064,,-118.4952719,16.125,37.25377835,,0.211,40.57935041,10186.66667,0.150469136,24.0,,,,
7595,34.00000259,,2018-02-01,0.089,,-118.4952719,16.15833333,39.18688937,,0.22,-42.28828656,10151.125,0.140132075,25.0,,,,
7596,34.00000259,,2018-02-03,0.038,,-118.4952719,16.125,37.25377835,,0.2,40.57935041,10186.66667,0.107566667,25.0,,,,
